gx,gy,gz,grms,ax,ay,az,arms
4224,369,732,4302,436,19496,11540,22659
4256,136,549,4293,156,19596,11712,22829
4224,11,559,4260,720,19524,11672,22758
4240,167,816,4321,8,19696,11056,22586
4240,17,526,4272,1180,19588,11748,22871
4224,125,802,4301,300,19344,11632,22573
4224,508,551,4289,372,19720,11524,22843
4240,193,388,4262,556,19488,12196,22996
4240,87,145,4243,104,19692,11444,22776
4224,91,1352,4436,540,19468,11412,22572
4240,45,871,4328,596,20012,11068,22876
4240,30,655,4290,48,19824,11844,23092
4208,690,821,4342,144,19876,11608,23017
4208,265,240,4223,200,19832,12056,23209
4208,140,79,4211,36,19696,11332,22723
4272,428,233,4299,940,19948,11712,23151
4240,544,571,4312,328,20116,11196,23024
4224,236,496,4259,292,19744,10660,22439
4240,50,248,4247,1068,19792,11232,22782
4224,267,232,4238,844,20032,11024,22880
4240,632,373,4303,944,20304,10552,22901
4208,5,1062,4339,1088,20124,10768,22849
4224,629,1051,4398,856,19680,11080,22600
4208,702,1356,4476,1676,21120,10152,23493
4192,317,918,4303,1336,20172,10704,22875
4224,416,1128,4391,1372,20264,9980,22629
4208,27,508,4238,1768,20316,10192,22797
4224,141,422,4247,1372,20344,9996,22708
4208,320,389,4238,1544,20172,10028,22579
4192,446,533,4249,1628,20340,9940,22697
4208,392,420,4247,1624,20292,10328,22826
4192,56,231,4198,2496,20480,10244,23034
4256,143,645,4306,2276,20504,10252,23036
4224,159,887,4319,1792,20196,10280,22732
4192,133,617,4239,2240,20448,10308,23008
4224,133,900,4320,1660,20216,9808,22530
4208,448,337,4245,1404,19876,10284,22422
4256,44,687,4311,1496,20488,9544,22651
4192,525,208,4229,1760,20792,9516,22933
4208,765,1060,4406,1304,20260,10232,22734
4224,58,402,4243,1028,20644,9664,22817
4224,168,585,4267,1296,20512,10076,22889
4224,66,294,4234,1388,20628,10232,23068
4208,83,267,4217,1168,20344,10028,22711
4208,151,406,4230,1036,20332,10224,22781
4192,77,254,4200,1588,20472,10076,22872
4208,302,669,4271,1392,20632,9988,22964
4176,515,766,4276,1480,20536,10192,22973
4224,580,893,4356,916,20196,9904,22512
4208,34,1493,4465,684,20484,10016,22811
4208,905,2769,5117,48,20172,10168,22589
4224,2531,2138,5368,580,21020,9956,23265
4224,1049,1715,4678,132,21108,8916,22914
4208,208,829,4293,176,20800,9308,22788
4192,447,1817,4590,620,21040,8748,22794
4176,191,792,4254,280,20876,8480,22534
4192,744,556,4293,512,20920,9452,22961
4176,638,175,4228,432,20684,8288,22286
4176,1699,1068,4633,712,21436,8748,23163
4176,929,896,4370,500,20628,9188,22587
4192,883,1231,4457,1236,21424,9504,23470
4208,388,1507,4486,1036,19520,10408,22145
4192,936,1263,4477,400,20340,9460,22435
4192,241,1246,4379,1772,21648,8968,23498
4224,395,206,4247,1536,20516,9372,22607
4192,12,420,4213,688,20608,9040,22514
4192,1645,58,4503,1520,20528,9360,22612
4192,4191,769,5977,1636,21216,10184,23590
4192,718,1044,4379,1792,20708,10424,23252
4176,455,114,4202,1140,20340,10632,22979
4192,1578,969,4582,832,20504,10188,22910
4224,106,898,4319,1016,20812,9072,22726
4176,116,569,4216,1276,20608,9520,22736
4192,94,263,4201,1400,20744,9616,22907
4192,669,604,4287,1600,20724,9328,22782
4192,1990,332,4652,1756,20744,9764,22994
4176,244,1414,4415,1756,20812,10152,23222
4160,525,1418,4426,1652,21056,8412,22734
4192,1117,638,4384,652,19716,9952,22094
4208,196,426,4234,1496,20928,9148,22888
4176,347,748,4256,1080,20664,9596,22809
4176,169,155,4182,1176,20624,9036,22547
4208,366,260,4231,1960,21256,8948,23145
4192,917,343,4304,1412,20408,9292,22468
4192,326,1658,4519,2776,22100,10148,24476
4176,743,1,4241,1628,19444,10496,22155
4208,683,702,4320,744,20408,9332,22452
4176,200,973,4292,2048,21088,9068,23046
4160,368,892,4270,1584,20700,9236,22722
4160,143,767,4232,1772,20908,9124,22880
4144,533,434,4200,1244,20560,9168,22545
4160,1054,1665,4603,1980,20976,9388,23066
4192,165,711,4255,1188,20448,9616,22627
4192,478,532,4252,1844,20808,9460,22931
4208,505,438,4260,1392,20536,9532,22683
4176,260,736,4248,1276,20656,9684,22849
4192,626,787,4310,1068,20740,9632,22892
4160,1195,265,4336,1584,20368,9492,22526
4176,516,464,4233,1504,20532,9952,22866
4160,65,319,4172,1084,20636,9920,22922
4176,198,370,4197,1304,20436,9900,22745
4176,28,991,4292,1588,20660,9728,22890
4160,739,1456,4468,1328,20360,9924,22688
4144,422,857,4252,820,20328,10252,22781
4176,395,1089,4333,1188,20588,9960,22901
4192,330,553,4241,1052,20568,9872,22838
4176,394,834,4276,1012,20444,10000,22781
4160,331,553,4209,824,20472,10476,23011
4160,519,427,4213,572,20296,10212,22727
4160,110,309,4172,824,20532,10088,22891
4160,13,239,4166,1328,20428,9840,22713
4176,263,787,4257,1524,20648,9908,22952
4176,291,378,4203,1412,20400,9948,22740
4160,236,37,4166,1660,20548,9708,22786
4160,536,325,4206,904,20308,10384,22826
4160,229,69,4166,1260,20568,9988,22899
4176,802,97,4253,1552,20372,9716,22623
4144,711,55,4204,1360,20208,10288,22716
4144,508,219,4180,816,20096,10336,22613
4176,17,1409,4407,1128,19980,10352,22530
4144,336,278,4166,1816,20560,10480,23148
4144,308,460,4180,1632,20164,10616,22846
4192,190,561,4233,1796,20384,10444,22974
4208,13,345,4222,1416,20208,10132,22650
4144,295,830,4236,1284,20164,10204,22635
4176,241,761,4251,1412,20132,10384,22696
4176,257,676,4238,1472,20360,10224,22830
4144,246,592,4193,1364,20412,10172,22846
4160,186,380,4181,1120,20476,10016,22821
4160,458,902,4281,1224,20452,10124,22853
4176,338,417,4210,944,20220,10380,22748
4160,421,495,4210,1156,20264,10372,22793
4160,419,508,4211,932,20188,10404,22730
4176,331,523,4221,932,20036,10364,22577
4160,328,667,4225,1512,20240,10512,22857
4160,377,759,4245,1260,20220,10684,22903
4160,1,338,4173,1004,20420,10180,22838
4144,132,457,4171,932,20296,10316,22786
