gx,gy,gz,grms,ax,ay,az,arms
4064,47,403,4084,2756,12312,17592,21648
4080,261,519,4121,2596,12520,17668,21809
4080,385,520,4130,3068,12316,17888,21933
4096,53,289,4106,2292,12088,17940,21753
4064,270,116,4074,2416,12236,17684,21639
4048,68,253,4056,3972,12296,17340,21625
4080,818,234,4167,2388,12264,17684,21652
4096,266,610,4149,3108,12560,17752,21966
4096,627,533,4177,3236,12476,17552,21776
4096,244,199,4108,3100,12452,17844,21978
4064,7,585,4105,3532,12972,17408,21995
4096,480,780,4197,2400,12200,17536,21496
4064,3379,1613,5525,1848,10560,17556,20570
4080,2348,4251,6342,1684,9888,18120,20710
4064,622,944,4218,5900,13124,17784,22876
4048,680,3034,5104,6532,13456,18960,24149
4064,298,1185,4243,2236,11344,17800,21225
4096,293,2313,4713,5380,6876,13856,16377
4096,1071,575,4272,2084,12164,17904,21745
4064,1139,1011,4339,2488,12348,18040,22002
4080,398,223,4105,2404,12132,17540,21461
4048,3891,3988,6886,796,10444,19820,22417
4032,999,805,4231,3168,12716,17836,22132
4064,1298,108,4267,2632,11224,18052,21419
4064,1981,141,4523,2632,12240,17768,21735
4064,1807,1773,4787,1828,12684,18040,22128
4048,248,1052,4189,3176,11732,18132,21828
4080,425,1155,4261,3084,12300,18172,22159
4048,123,1572,4344,2728,12104,18176,22007
4048,138,716,4113,2532,11196,18092,21426
4096,447,687,4177,2444,11928,17784,21552
4064,482,1783,4464,2604,12532,17320,21536
4080,1202,576,4292,2452,11500,17676,21229
4064,6467,3945,8596,776,6888,18828,20063
4016,4678,1426,6328,2756,10308,18512,21366
4048,1316,1535,4524,4136,10392,19632,22594
4096,581,1482,4394,2212,8908,17964,20173
4032,1134,3011,5158,2548,10444,19132,21945
4064,1462,2161,4829,740,8440,17884,19789
4048,1496,287,4325,1084,10328,19004,21656
4080,131,230,4088,2216,10784,18308,21363
4064,5271,1031,6735,1168,6776,16636,18000
4032,3714,3011,6254,1680,10724,18468,21421
4048,1008,1586,4462,3160,10660,20144,23008
4048,636,374,4114,1224,9732,18752,21162
4032,1402,1899,4672,596,11168,20704,23531
4080,6689,1673,8011,2756,8560,17852,19989
4064,3626,27,5446,2432,11156,18844,22033
4032,214,850,4126,2656,11236,18136,21499
4064,769,1491,4396,2608,10556,17896,20940
4064,21966,1292,22376,80,7940,18056,19724
4096,7098,696,8224,5392,8864,20556,23025
4064,4231,903,5935,1264,10208,18580,21237
4048,1791,1039,4546,2004,11260,18116,21424
4064,5736,3186,7718,1440,11808,17092,20823
4064,44,1544,4347,2208,10960,17372,20658
4048,8963,919,9877,3004,11656,19240,22695
4016,4810,1522,6448,2088,11024,18764,21862
4080,4530,491,6116,2920,11952,17920,21737
4080,264,669,4142,2456,12400,17604,21672
4080,406,700,4159,1728,11708,16876,20612
4048,6811,1126,8002,3152,12316,18976,22840
4032,3877,975,5677,1672,11424,18368,21695
4032,1682,857,4452,2240,12012,17168,21072
4048,302,954,4169,2180,12200,17824,21709
4016,6134,303,7337,1236,12684,17576,21710
4032,2435,2612,5385,3232,12904,18800,23030
4032,3947,37,5642,1152,11916,17860,21501
4032,2327,596,4693,1664,12336,17156,21196
4032,98,217,4039,2344,12448,17764,21817
4016,4183,1772,6063,3976,12784,19056,23288
4048,4024,67,5708,992,11568,18052,21463
4064,2350,122,4696,3100,12388,17616,21757
4064,71,1018,4190,2756,12544,17764,21920
4048,2396,338,4716,2300,11172,16948,20428
4048,6001,387,7249,1192,11080,16612,20003
4016,7609,90,8604,4228,12012,19096,22952
4048,1113,1061,4330,2204,10520,18304,21226
4016,3757,54,5499,2796,12612,17660,21880
4048,479,840,4161,2552,12128,17632,21551
4048,8956,188,9830,556,10800,15168,18628
4048,4712,1643,6425,4044,11904,18568,22423
4048,5494,587,6849,1920,11012,18256,21406
4048,2093,43,4557,2932,11268,17460,20986
4048,1448,774,4368,2828,12296,18012,21991
4032,5097,901,6561,2088,14532,18396,23536
4016,3092,718,5119,3024,11244,18508,21865
4016,2491,12,4725,4172,12128,18672,22652
3984,3820,393,5533,1956,10968,17876,21063
4016,390,574,4075,2332,11892,17592,21362
4048,1380,1142,4426,2872,12572,18248,22344
4048,399,142,4070,1764,11792,17384,21080
4048,4193,259,5833,3032,12208,17664,21685
4016,5408,724,6774,2936,11264,17668,21157
4064,309,1043,4207,3924,10552,19684,22676
4048,5172,519,6588,1572,10228,18424,21131
4016,89,796,4095,2316,11456,17224,20815
4000,115,896,4100,2468,11544,18572,22006
4016,9756,104,10550,588,10176,16888,19725
4064,2117,652,4628,2912,10236,18452,21300
4048,1033,1195,4345,3068,11148,19428,22608
4048,1358,89,4270,2016,10280,19384,22033
4032,1057,969,4279,2544,10908,17540,20811
4000,2286,1251,4773,3268,11304,18392,21834
4032,884,1004,4248,2920,10200,18668,21472
4000,979,724,4181,1980,9920,18616,21186
4032,1308,932,4340,1396,11332,17716,21076
3984,735,410,4071,2676,11196,18196,21531
4016,2414,786,4751,2864,10988,18196,21448
4016,267,577,4066,1704,11732,18020,21569
4016,1779,219,4397,2936,10612,18492,21521
4016,854,435,4128,2036,9840,18504,21056
4016,938,680,4179,1592,9996,18568,21147
4048,1247,627,4281,2220,9460,18692,21066
4016,1658,1395,4563,900,11832,17284,20965
4032,282,432,4064,2484,10852,18148,21290
4032,1270,462,4252,2628,10720,18080,21182
4032,900,1019,4255,3392,10400,18972,21899
4032,1228,623,4260,2416,11004,18184,21391
3984,218,1028,4120,2368,10456,18912,21739
4000,1216,375,4197,2044,10140,18384,21094
4000,73,427,4023,2060,10548,18588,21471
4000,3,557,4038,3028,10668,18764,21795
4000,2919,11,4951,1168,9200,17728,20007
4016,1182,88,4187,2484,10756,19052,22019
4016,1320,202,4232,3076,10500,18460,21458
4016,882,907,4210,2980,10288,18404,21293
4000,2319,492,4649,2208,10092,18276,20993
4016,306,1510,4301,3244,9932,19040,21718
3984,848,1063,4209,2544,9988,18412,21100
4016,380,319,4046,1956,10296,18604,21352
3968,22,302,3979,2236,10232,18728,21457
3984,266,366,4009,3380,10356,18584,21541
4000,673,1084,4198,2344,9744,18964,21449
3984,1660,680,4369,1852,10092,18724,21351
3984,1347,776,4276,2636,9468,18808,21221
3984,1240,893,4267,2068,9968,18796,21375
4016,1023,541,4179,2612,9820,18616,21208
4000,694,362,4075,1860,10164,18416,21116
3984,490,410,4034,1652,10324,18612,21347
4016,53,648,4068,2808,10768,18392,21496
3984,89,473,4012,2000,10476,18516,21367
4000,28,398,4019,2644,10656,18540,21546
4000,133,515,4035,2088,10556,18480,21384
4016,7,633,4065,1756,10744,18224,21228
3968,217,455,3999,1752,10556,18432,21312
4000,228,566,4046,2308,10412,18388,21256
4016,210,607,4067,1744,10676,18300,21258
3984,126,688,4044,2356,10720,18368,21397
4000,327,449,4038,2596,10828,18216,21349
4000,163,491,4033,1708,10520,18368,21236
4000,204,772,4078,2148,10968,18296,21439
3984,17,779,4059,1928,10724,18400,21384
